"latitude","longitude","timezone","requested_datetime","sunrise","sunset","temp","feels_like","pressure","humidity","dew_point","uvi","clouds","visibility","wind_speed","wind_deg","weather_id","weather_main","weather_description","weather_icon"
"21.0278","105.8342","Asia/Bangkok","2023-10-09T07:44:32.000Z","2023-10-08T22:49:43.000Z","2023-10-09T10:38:15.000Z","30.99","31.86","1012","46","18.02","3.11","67","10000","3.19","15","803","Clouds","broken clouds","04d"
"21.0278","105.8342","Asia/Bangkok","2023-10-07T07:44:32.000Z","2023-10-06T22:49:07.000Z","2023-10-07T10:40:01.000Z","25.99","25.99","1009","59","17.36","3.44","67","10000","6.33","45","803","Clouds","broken clouds","04d"
"21.0278","105.8342","Asia/Bangkok","2023-10-10T07:44:32.000Z","2023-10-09T22:50:01.000Z","2023-10-10T10:37:23.000Z","29.99","31.87","1014","55","19.97","1.35","74","10000","6.08","39","803","Clouds","broken clouds","04d"
"21.0278","105.8342","Asia/Bangkok","2023-10-08T07:44:32.000Z","2023-10-07T22:49:25.000Z","2023-10-08T10:39:08.000Z","30.99","32.41","1011","49","19.03","2.04","32","10000","3.37","357","802","Clouds","scattered clouds","03d"
"21.0278","105.8342","Asia/Bangkok","2023-10-11T07:44:32.000Z","2023-10-10T22:50:20.000Z","2023-10-11T10:36:31.000Z","28.99","30.16","1014","54","18.75","3.19","91","10000","3.1","25","804","Clouds","overcast clouds","04d"
"12.2388","109.1967","Asia/Ho_Chi_Minh","2023-10-09T08:35:12.000Z","2023-10-08T22:32:22.000Z","2023-10-09T10:28:42.000Z","31.01","38.01","1010","77","26.5","1.18","100","10000","2.26","61","804","Clouds","overcast clouds","04d"
"12.2388","109.1967","Asia/Ho_Chi_Minh","2023-10-08T08:35:12.000Z","2023-10-07T22:32:19.000Z","2023-10-08T10:29:19.000Z","31.01","38.01","1009","78","26.72","0.65","100","10000","1.97","131","500","Rain","light rain","10d"
"12.2388","109.1967","Asia/Ho_Chi_Minh","2023-10-10T08:35:12.000Z","2023-10-09T22:32:25.000Z","2023-10-10T10:28:05.000Z","31.01","38.01","1009","81","27.36","1.5","44","10000","4.64","32","802","Clouds","scattered clouds","03d"
"12.2388","109.1967","Asia/Ho_Chi_Minh","2023-10-11T08:35:12.000Z","2023-10-10T22:32:28.000Z","2023-10-11T10:27:29.000Z","31.01","38.01","1010","81","27.36","1.0","100","10000","4.51","30","804","Clouds","overcast clouds","04d"
"12.2388","109.1967","Asia/Ho_Chi_Minh","2023-10-07T08:35:12.000Z","2023-10-06T22:32:17.000Z","2023-10-07T10:29:57.000Z","31.01","38.01","1008","76","26.28","0.84","94","10000","1.77","76","804","Clouds","overcast clouds","04d"
"16.0544","108.2022","Asia/Ho_Chi_Minh","2023-10-10T08:39:59.000Z","2023-10-09T22:38:10.000Z","2023-10-10T10:30:18.000Z","27","30.03","1011","83","23.86","1.39","75","10000","5.14","350","803","Clouds","broken clouds","04d"
"16.0544","108.2022","Asia/Ho_Chi_Minh","2023-10-07T08:39:59.000Z","2023-10-06T22:37:42.000Z","2023-10-07T10:32:29.000Z","32","39.0","1007","66","24.85","1.36","20","10000","4.63","360","801","Clouds","few clouds","02d"
"16.0544","108.2022","Asia/Ho_Chi_Minh","2023-10-08T08:39:59.000Z","2023-10-07T22:37:51.000Z","2023-10-08T10:31:45.000Z","30","35.04","1009","70","23.93","1.39","20","10000","5.14","10","501","Rain","moderate rain","10d"
"16.0544","108.2022","Asia/Ho_Chi_Minh","2023-10-09T08:39:59.000Z","2023-10-08T22:38:00.000Z","2023-10-09T10:31:01.000Z","26","26.0","1011","89","24.04","0.82","75","10000","0.0","0","500","Rain","light rain","10d"
"16.0544","108.2022","Asia/Ho_Chi_Minh","2023-10-11T08:39:59.000Z","2023-10-10T22:38:20.000Z","2023-10-11T10:29:35.000Z","28","31.8","1012","78","23.8","0.72","75","10000","1.54","90","501","Rain","moderate rain","10d"
"41.8781","-87.6298","America/Chicago","2023-10-07T08:41:20.000Z","2023-10-07T11:53:29.000Z","2023-10-07T23:23:03.000Z","7.68","5.09","1019","79","4.27","0","0","10000","4.12","300","800","Clear","clear sky","01n"
"34.0522","-118.2437","America/Los_Angeles","2023-10-09T08:41:20.000Z","2023-10-09T13:53:06.000Z","2023-10-10T01:27:08.000Z","17.79","18.08","1012","94","16.81","0","100","4828","0.0","0","701","Mist","mist","50n"
"41.8781","-87.6298","America/Chicago","2023-10-08T08:41:20.000Z","2023-10-08T11:54:34.000Z","2023-10-08T23:21:22.000Z","7.88","5.91","1017","68","2.35","0","75","10000","3.09","300","803","Clouds","broken clouds","04n"
"36.1699","-115.1398","America/Los_Angeles","2023-10-08T08:41:20.000Z","2023-10-08T13:41:08.000Z","2023-10-09T01:14:51.000Z","23.84","22.93","1015","25","2.65","0","0","10000","3.58","290","800","Clear","clear sky","01n"
"34.0522","-118.2437","America/Los_Angeles","2023-10-11T08:41:20.000Z","2023-10-11T13:54:38.000Z","2023-10-12T01:24:31.000Z","18.34","18.34","1009","81","15.02","0","100","10000","0.45","225","804","Clouds","overcast clouds","04n"
"41.8781","-87.6298","America/Chicago","2023-10-11T08:41:20.000Z","2023-10-11T11:57:53.000Z","2023-10-11T23:16:24.000Z","7.37","6.07","1010","67","1.65","0","0","10000","2.06","240","800","Clear","clear sky","01n"
"30.3189","-81.6902","America/New_York","2023-10-09T08:41:20.000Z","2023-10-09T11:24:42.000Z","2023-10-09T23:03:10.000Z","13.48","12.92","1014","78","9.72","0","0","10000","2.06","310","800","Clear","clear sky","01n"
"41.8781","-87.6298","America/Chicago","2023-10-09T08:41:20.000Z","2023-10-09T11:55:40.000Z","2023-10-09T23:19:42.000Z","7.01","4.86","1011","75","2.89","0","75","10000","3.09","300","803","Clouds","broken clouds","04n"
"34.0522","-118.2437","America/Los_Angeles","2023-10-07T08:41:20.000Z","2023-10-07T13:51:36.000Z","2023-10-08T01:29:47.000Z","20.79","20.6","1012","64","13.74","0","0","10000","0.0","0","800","Clear","clear sky","01n"
"25.7617","-80.1918","America/New_York","2023-10-07T08:41:20.000Z","2023-10-07T11:15:24.000Z","2023-10-07T23:01:38.000Z","25.92","26.87","1012","88","23.78","0","20","10000","0.0","0","801","Clouds","few clouds","02n"
