"latitude","longitude","timezone","datetime","temp","feels_like","pressure","humidity","dew_point","uvi","clouds","visibility","wind_speed","wind_deg","wind_gust","weather_id","weather_main","weather_description","weather_icon"
"21.0278","105.8342","Asia/Bangkok","2023-10-07T00:00:00.000Z","26.63","26.63","1011","82","23.3","0.36","12","10000","2.3","61","3.91","801","Clouds","few clouds","02d"
"21.0278","105.8342","Asia/Bangkok","2023-10-07T01:00:00.000Z","28.01","31.24","1012","74","22.94","1.47","18","10000","3.67","38","4.43","801","Clouds","few clouds","02d"
"21.0278","105.8342","Asia/Bangkok","2023-10-07T02:00:00.000Z","29.18","32.74","1012","68","22.67","3.59","11","10000","3.92","30","3.92","500","Rain","light rain","10d"
"21.0278","105.8342","Asia/Bangkok","2023-10-07T03:00:00.000Z","29.96","33.58","1012","64","22.41","6.1","12","10000","4.0","28","3.69","501","Rain","moderate rain","10d"
"21.0278","105.8342","Asia/Bangkok","2023-10-07T04:00:00.000Z","30.71","34.72","1011","62","22.59","8.6","13","10000","4.29","38","4.03","501","Rain","moderate rain","10d"
"21.0278","105.8342","Asia/Bangkok","2023-10-07T05:00:00.000Z","31.01","34.87","1010","60","22.33","9.38","22","10000","4.85","45","4.84","500","Rain","light rain","10d"
"21.0278","105.8342","Asia/Bangkok","2023-10-07T06:00:00.000Z","30.07","33.17","1010","61","21.72","8.5","64","10000","5.81","48","6.02","500","Rain","light rain","10d"
"21.0278","105.8342","Asia/Bangkok","2023-10-07T07:00:00.000Z","25.99","25.99","1009","60","17.63","5.96","75","10000","6.05","46","6.6","803","Clouds","broken clouds","04d"
"21.0278","105.8342","Asia/Bangkok","2023-10-07T08:00:00.000Z","25.99","25.99","1009","59","17.36","3.44","67","10000","6.33","45","6.87","803","Clouds","broken clouds","04d"
"21.0278","105.8342","Asia/Bangkok","2023-10-07T09:00:00.000Z","25.99","25.99","1009","60","17.63","1.38","60","10000","6.2","45","7.35","803","Clouds","broken clouds","04d"
"21.0278","105.8342","Asia/Bangkok","2023-10-07T10:00:00.000Z","25.99","25.99","1010","63","18.41","0.12","51","10000","6.21","40","9.47","803","Clouds","broken clouds","04d"
"21.0278","105.8342","Asia/Bangkok","2023-10-07T11:00:00.000Z","25.99","25.99","1011","63","18.41","0.0","49","10000","5.93","34","10.79","802","Clouds","scattered clouds","03n"
"21.0278","105.8342","Asia/Bangkok","2023-10-07T12:00:00.000Z","25.99","25.99","1012","64","18.66","0.0","81","10000","5.86","32","11.15","803","Clouds","broken clouds","04n"
