,name,region,country,lat,lon,tz_id,time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,gust_mph,gust_kph,uv
0,Da Nang,,Vietnam,21.72,105.35,Asia/Bangkok,1665939600,2022-10-17 00:00,22.6,72.7,0,Clear,5.8,9.4,296,WNW,1016.0,30.0,0.0,0.0,65,9,24.8,76.6,10.0,6.0,12.3,19.8,1.0
1,Da Nang,,Vietnam,21.72,105.35,Asia/Bangkok,1665943200,2022-10-17 01:00,22.1,71.8,0,Clear,5.5,8.9,298,WNW,1016.0,29.99,0.0,0.0,68,9,24.6,76.3,10.0,6.0,11.6,18.7,1.0
2,Da Nang,,Vietnam,21.72,105.35,Asia/Bangkok,1665946800,2022-10-17 02:00,21.7,71.0,0,Clear,5.2,8.4,300,WNW,1015.0,29.98,0.0,0.0,70,9,21.7,71.0,10.0,6.0,11.0,17.6,1.0
3,Da Nang,,Vietnam,21.72,105.35,Asia/Bangkok,1665950400,2022-10-17 03:00,21.2,70.2,0,Clear,4.9,7.9,302,WNW,1015.0,29.97,0.0,0.0,73,9,21.2,70.2,10.0,6.0,10.3,16.6,1.0
4,Da Nang,,Vietnam,21.72,105.35,Asia/Bangkok,1665954000,2022-10-17 04:00,20.8,69.4,0,Clear,4.7,7.6,300,WNW,1015.0,29.99,0.0,0.0,75,10,20.8,69.4,10.0,6.0,9.8,15.8,1.0
5,Da Nang,,Vietnam,21.72,105.35,Asia/Bangkok,1665957600,2022-10-17 05:00,20.3,68.6,0,Clear,4.5,7.2,298,WNW,1016.0,30.0,0.0,0.0,77,10,20.3,68.6,10.0,6.0,9.4,15.1,1.0
6,Da Nang,,Vietnam,21.72,105.35,Asia/Bangkok,1665961200,2022-10-17 06:00,19.9,67.8,1,Sunny,4.3,6.8,295,WNW,1017.0,30.02,0.0,0.0,79,11,19.9,67.8,10.0,6.0,8.9,14.4,5.0
7,Da Nang,,Vietnam,21.72,105.35,Asia/Bangkok,1665964800,2022-10-17 07:00,21.9,71.4,1,Sunny,5.1,8.3,302,WNW,1017.0,30.04,0.0,0.0,71,10,21.9,71.4,10.0,6.0,8.9,14.3,6.0
8,Da Nang,,Vietnam,21.72,105.35,Asia/Bangkok,1665968400,2022-10-17 08:00,23.8,74.9,1,Sunny,6.0,9.7,308,NW,1018.0,30.05,0.0,0.0,63,9,25.4,77.7,10.0,6.0,11.1,17.9,6.0
9,Da Nang,,Vietnam,21.72,105.35,Asia/Bangkok,1665972000,2022-10-17 09:00,25.8,78.4,1,Sunny,6.9,11.2,314,NW,1018.0,30.07,0.0,0.0,55,8,26.7,80.1,10.0,6.0,12.8,20.5,7.0
