,name,region,country,lat,lon,tz_id,time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,gust_mph,gust_kph,uv
0,Ha Noi,,Vietnam,21.03,105.85,Asia/Bangkok,1665939600,2022-10-17 00:00,22.1,71.7,0,Clear,4.9,7.9,331,NNW,1015.0,29.98,0.0,0.0,61,9,24.6,76.2,10.0,6.0,10.1,16.2,1.0
1,Ha Noi,,Vietnam,21.03,105.85,Asia/Bangkok,1665943200,2022-10-17 01:00,22.0,71.5,0,Clear,5.1,8.3,328,NNW,1015.0,29.98,0.0,0.0,63,9,22.0,71.5,10.0,6.0,10.4,16.8,1.0
2,Ha Noi,,Vietnam,21.03,105.85,Asia/Bangkok,1665946800,2022-10-17 02:00,22.6,72.7,0,Clear,5.4,8.6,326,NNW,1015.0,29.97,0.0,0.0,65,9,24.8,76.6,10.0,6.0,10.8,17.4,1.0
3,Ha Noi,,Vietnam,21.03,105.85,Asia/Bangkok,1665950400,2022-10-17 03:00,22.2,72.0,0,Clear,5.6,9.0,324,NW,1015.0,29.96,0.0,0.0,67,10,24.6,76.4,10.0,6.0,11.2,18.0,1.0
4,Ha Noi,,Vietnam,21.03,105.85,Asia/Bangkok,1665954000,2022-10-17 04:00,21.8,71.2,0,Clear,5.7,9.2,324,NW,1015.0,29.98,0.0,0.0,69,9,21.8,71.2,10.0,6.0,11.4,18.4,1.0
5,Ha Noi,,Vietnam,21.03,105.85,Asia/Bangkok,1665957600,2022-10-17 05:00,21.4,70.5,0,Clear,5.9,9.5,324,NW,1016.0,29.99,0.0,0.0,71,9,21.4,70.5,10.0,6.0,11.6,18.7,1.0
6,Ha Noi,,Vietnam,21.03,105.85,Asia/Bangkok,1665961200,2022-10-17 06:00,21.0,69.8,1,Sunny,6.0,9.7,324,NW,1016.0,30.01,0.0,0.0,73,8,21.0,69.8,10.0,6.0,11.9,19.1,6.0
7,Ha Noi,,Vietnam,21.03,105.85,Asia/Bangkok,1665964800,2022-10-17 07:00,23.1,73.6,1,Sunny,8.3,13.3,336,NNW,1017.0,30.02,0.0,0.0,64,8,25.0,77.0,10.0,6.0,13.0,21.0,6.0
8,Ha Noi,,Vietnam,21.03,105.85,Asia/Bangkok,1665968400,2022-10-17 08:00,25.2,77.4,1,Sunny,10.5,16.9,347,NNW,1017.0,30.04,0.0,0.0,55,7,26.2,79.2,10.0,6.0,14.2,22.9,7.0
9,Ha Noi,,Vietnam,21.03,105.85,Asia/Bangkok,1665972000,2022-10-17 09:00,27.3,81.1,1,Sunny,12.8,20.5,359,N,1018.0,30.05,0.0,0.0,46,6,27.6,81.8,10.0,6.0,17.8,28.6,7.0
