,name,region,country,lat,lon,tz_id,time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,gust_mph,gust_kph,uv
0,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,1665939600,2022-10-17 00:00,24.0,75.2,0,Clear,4.7,7.6,354,N,1011.0,29.85,0.0,0.0,84,7,26.1,78.9,10.0,6.0,8.9,14.4,1.0
1,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,1665943200,2022-10-17 01:00,23.7,74.7,0,Clear,4.8,7.7,354,N,1010.0,29.84,0.0,0.0,86,8,25.8,78.5,10.0,6.0,8.9,14.3,1.0
2,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,1665946800,2022-10-17 02:00,23.5,74.2,0,Clear,4.8,7.8,353,N,1010.0,29.82,0.0,0.0,87,9,25.6,78.1,10.0,6.0,8.8,14.2,1.0
3,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,1665950400,2022-10-17 03:00,23.2,73.8,0,Clear,4.9,7.9,353,N,1009.0,29.8,0.0,0.0,89,9,25.4,77.7,10.0,6.0,8.7,14.0,1.0
4,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,1665954000,2022-10-17 04:00,23.1,73.5,0,Clear,4.8,7.7,352,N,1010.0,29.81,0.0,0.0,90,14,25.3,77.6,10.0,6.0,8.4,13.4,1.0
5,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,1665957600,2022-10-17 05:00,22.9,73.3,0,Clear,4.6,7.4,352,N,1010.0,29.82,0.0,0.0,91,19,25.2,77.4,10.0,6.0,8.0,12.8,1.0
6,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,1665961200,2022-10-17 06:00,22.8,73.0,1,Sunny,4.5,7.2,351,N,1010.0,29.83,0.0,0.0,92,24,25.1,77.2,10.0,6.0,7.6,12.2,6.0
7,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,1665964800,2022-10-17 07:00,24.4,76.0,1,Partly cloudy,4.6,7.4,349,N,1011.0,29.84,0.0,0.0,86,35,26.7,80.0,10.0,6.0,6.9,11.2,6.0
8,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,1665968400,2022-10-17 08:00,26.1,78.9,1,Partly cloudy,4.8,7.7,347,NNW,1011.0,29.85,0.0,0.0,80,46,28.6,83.5,10.0,6.0,9.2,14.8,7.0
9,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,1665972000,2022-10-17 09:00,27.7,81.9,1,Partly cloudy,4.9,7.9,345,NNW,1011.0,29.87,0.0,0.0,74,57,30.8,87.5,10.0,6.0,9.5,15.3,7.0
