"country","state","city","date","max_temperature","min_temperature","average_temperature"
"United States","Washington","","2023-10-11","15.97","9.52","11.84"
"United States","Illinois","Chicago","2023-10-11","18.98","6.4","12.40"
"United States","New York","City of New York","2023-10-11","21.68","13.21","16.55"
"United States","Texas","Dallas","2023-10-11","25.76","19.27","21.86"
"United States","Florida","Jacksonville","2023-10-11","24.77","19.53","21.92"
"United States","Nevada","Las Vegas","2023-10-11","30.85","19.18","24.72"
"United States","California","Los Angeles","2023-10-11","24.59","17.06","19.92"
"United States","Florida","Miami","2023-10-11","30.17","26.6","28.25"
"United States","Florida","Orlando","2023-10-11","29.23","22.57","25.01"
"United States","Florida","Tampa","2023-10-11","31.7","23.54","26.70"
"Việt Nam","","Thành phố Đà Nẵng","2023-10-11","29.0","25.0","26.58"
"Việt Nam","","Thành phố Hà Nội","2023-10-11","28.99","22.99","25.87"
"Việt Nam","Tỉnh Khánh Hòa","Thành phố Nha Trang","2023-10-11","33.01","26.01","29.18"
"United States","Washington","","2023-10-10","14.52","10.08","11.79"
"United States","Illinois","Chicago","2023-10-10","16.61","5.33","10.29"
"United States","New York","City of New York","2023-10-10","17.88","11.92","14.31"
"United States","Texas","Dallas","2023-10-10","28.39","18.16","23.79"
"United States","Florida","Jacksonville","2023-10-10","27.43","13.31","19.09"
"United States","Nevada","Las Vegas","2023-10-10","33.13","22.67","27.93"
"United States","California","Los Angeles","2023-10-10","24.18","16.08","19.21"
"United States","Florida","Miami","2023-10-10","32.2","24.05","27.34"
"United States","Florida","Orlando","2023-10-10","28.88","19.77","23.25"
"United States","Florida","Tampa","2023-10-10","29.45","20.03","23.55"
"Việt Nam","","Thành phố Đà Nẵng","2023-10-10","27.0","25.0","25.92"
"Việt Nam","","Thành phố Hà Nội","2023-10-10","29.99","23.99","26.49"
"Việt Nam","Tỉnh Khánh Hòa","Thành phố Nha Trang","2023-10-10","33.01","26.01","28.72"
"United States","Washington","","2023-10-09","18.3","12.53","15.05"
"United States","Illinois","Chicago","2023-10-09","14.05","5.84","9.90"
"United States","New York","City of New York","2023-10-09","16.28","8.58","12.67"
"United States","Texas","Dallas","2023-10-09","31.16","16.54","22.06"
"United States","Florida","Jacksonville","2023-10-09","23.52","11.85","17.84"
"United States","Nevada","Las Vegas","2023-10-09","33.95","20.53","27.05"
"United States","California","Los Angeles","2023-10-09","25.18","16.79","19.87"
"United States","Florida","Miami","2023-10-09","29.97","24.42","26.35"
"United States","Florida","Orlando","2023-10-09","26.6","18.03","21.62"
"United States","Florida","Tampa","2023-10-09","26.07","18.44","21.71"
"Việt Nam","","Thành phố Đà Nẵng","2023-10-09","27.0","24.0","25.46"
"Việt Nam","","Thành phố Hà Nội","2023-10-09","30.99","24.99","27.66"
"Việt Nam","Tỉnh Khánh Hòa","Thành phố Nha Trang","2023-10-09","33.01","26.01","29.26"
"United States","Washington","","2023-10-08","20.87","13.3","15.47"
"United States","Illinois","Chicago","2023-10-08","12.53","7.4","9.96"
"United States","New York","City of New York","2023-10-08","16.22","10.23","13.21"
"United States","Texas","Dallas","2023-10-08","25.69","12.66","18.34"
"United States","Florida","Jacksonville","2023-10-08","23.82","14.02","19.40"
"United States","Nevada","Las Vegas","2023-10-08","33.77","19.85","27.06"
"United States","California","Los Angeles","2023-10-08","29.07","17.79","22.48"
"United States","Florida","Miami","2023-10-08","32.08","24.74","27.83"
"United States","Florida","Orlando","2023-10-08","27.46","19.35","23.41"
"United States","Florida","Tampa","2023-10-08","26.24","20.07","23.21"
"Việt Nam","","Thành phố Đà Nẵng","2023-10-08","31.0","24.0","27.58"
"Việt Nam","","Thành phố Hà Nội","2023-10-08","30.99","23.99","27.07"
"Việt Nam","Tỉnh Khánh Hòa","Thành phố Nha Trang","2023-10-08","33.01","25.01","28.22"
"United States","Washington","","2023-10-07","24.87","11.62","17.47"
"United States","Illinois","Chicago","2023-10-07","14.65","6.87","10.45"
"United States","New York","City of New York","2023-10-07","20.75","14.61","18.92"
"United States","Texas","Dallas","2023-10-07","27.36","13.86","18.92"
"United States","Florida","Jacksonville","2023-10-07","29.33","21.06","24.83"
"United States","Nevada","Las Vegas","2023-10-07","33.55","20.65","26.77"
"United States","California","Los Angeles","2023-10-07","31.72","17.79","25.42"
"United States","Florida","Miami","2023-10-07","31.86","25.46","28.82"
"United States","Florida","Orlando","2023-10-07","31.8","22.86","26.43"
"United States","Florida","Tampa","2023-10-07","31.33","24.46","27.22"
"Việt Nam","","Thành phố Đà Nẵng","2023-10-07","32.0","25.0","27.20"
"Việt Nam","","Thành phố Hà Nội","2023-10-07","31.01","23.99","26.64"
"Việt Nam","Tỉnh Khánh Hòa","Thành phố Nha Trang","2023-10-07","31.01","26.01","28.16"
