,name,region,country,lat,lon,tz_id,maxtemp_c,maxtemp_f,mintemp_c,mintemp_f,avgtemp_c,avgtemp_f,maxwind_mph,maxwind_kph,totalprecip_mm,totalprecip_in,avgvis_km,avgvis_miles,avghumidity,condition,uv
2022-10-17,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,31.3,88.3,22.8,73.0,26.2,79.2,5.4,8.6,2.4,0.09,9.9,6.0,81.0,Patchy rain possible,7.0
2022-10-18,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,30.1,86.2,23.7,74.7,26.0,78.9,7.6,12.2,8.0,0.31,9.8,6.0,87.0,Moderate or heavy rain shower,7.0
2022-10-19,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,28.8,83.8,23.6,74.5,25.7,78.2,9.4,15.1,26.5,1.04,9.9,6.0,88.0,Moderate or heavy rain shower,6.0
2022-10-20,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,28.0,82.4,23.5,74.3,25.5,77.9,11.6,18.7,15.0,0.59,8.8,5.0,86.0,Moderate or heavy rain shower,6.0
2022-10-21,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,32.0,89.7,23.5,74.3,26.8,80.3,6.0,9.7,2.7,0.11,9.9,6.0,81.0,Heavy rain at times,7.0
2022-10-22,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,31.6,88.9,24.0,75.2,27.3,81.2,6.0,9.7,1.8,0.07,9.9,6.0,83.0,Patchy rain possible,7.0
2022-10-23,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,31.7,89.1,24.4,75.9,27.1,80.9,5.4,8.6,5.6,0.22,9.7,6.0,81.0,Heavy rain at times,7.0
2022-10-24,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,30.5,86.9,24.0,75.2,26.7,80.0,6.9,11.2,2.3,0.09,9.6,5.0,85.0,Patchy rain possible,7.0
2022-10-25,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,31.3,88.3,24.4,75.9,26.9,80.5,5.8,9.4,1.7,0.07,9.3,5.0,85.0,Patchy rain possible,7.0
2022-10-26,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,30.4,86.7,24.3,75.7,26.7,80.0,6.5,10.4,7.3,0.29,9.7,6.0,85.0,Moderate or heavy rain shower,7.0
2022-10-27,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,29.5,85.1,23.9,75.0,26.2,79.2,5.4,8.6,18.5,0.73,9.8,6.0,85.0,Moderate or heavy rain shower,6.0
2022-10-28,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,31.0,87.8,23.6,74.5,26.0,78.7,5.6,9.0,4.5,0.18,9.0,5.0,87.0,Patchy rain possible,7.0
2022-10-29,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,32.0,89.6,22.5,72.5,26.5,79.7,4.5,7.2,2.8,0.11,8.8,5.0,81.0,Moderate or heavy rain shower,7.0
2022-10-30,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,31.8,89.2,23.3,73.9,26.7,80.0,7.6,12.2,0.1,0.0,9.7,6.0,81.0,Patchy rain possible,7.0
2022-10-31,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,32.9,91.2,23.1,73.6,26.8,80.2,7.8,12.6,0.0,0.0,10.0,6.0,77.0,Partly cloudy,8.0
2022-11-01,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,31.3,88.3,23.6,74.5,26.4,79.5,8.5,13.7,0.0,0.0,9.9,6.0,80.0,Cloudy,7.0
2022-11-02,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,28.2,82.7,23.3,73.9,25.1,77.2,6.3,10.1,9.5,0.37,10.0,6.0,87.0,Heavy rain at times,6.0
2022-11-03,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,29.9,85.8,23.4,74.1,25.3,77.5,6.7,10.8,23.3,0.92,10.0,6.0,86.0,Moderate or heavy rain shower,6.0
2022-11-04,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,28.3,82.9,23.7,74.7,25.4,77.7,5.8,9.4,56.6,2.23,10.0,6.0,83.0,Moderate or heavy rain shower,6.0
2022-11-05,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,30.6,87.1,23.3,73.9,25.8,78.4,5.8,9.4,2.1,0.08,10.0,6.0,84.0,Moderate rain at times,7.0
2022-11-06,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,31.2,88.2,23.2,73.8,26.2,79.2,5.8,9.4,1.2,0.05,8.7,5.0,86.0,Moderate rain at times,7.0
2022-11-07,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,32.0,89.6,23.1,73.6,26.8,80.2,4.3,6.8,1.5,0.06,9.5,5.0,81.0,Patchy rain possible,7.0
2022-11-08,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,32.4,90.3,23.6,74.5,26.8,80.2,7.2,11.5,0.0,0.0,9.7,6.0,82.0,Cloudy,7.0
2022-11-09,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,32.3,90.1,23.5,74.3,26.7,80.1,5.7,9.2,2.1,0.08,8.6,5.0,82.0,Heavy rain at times,7.0
2022-11-10,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,32.3,90.1,23.5,74.3,26.6,79.9,6.0,9.7,5.8,0.23,8.8,5.0,84.0,Moderate or heavy rain shower,7.0
2022-11-11,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,31.8,89.2,24.0,75.2,27.1,80.8,6.0,9.6,1.1,0.04,9.5,5.0,82.0,Patchy rain possible,7.0
2022-11-12,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,29.3,84.7,24.0,75.2,25.9,78.6,7.2,11.5,23.4,0.92,10.0,6.0,84.0,Moderate or heavy rain shower,6.0
2022-11-13,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,31.8,89.2,23.8,74.8,26.8,80.2,5.9,9.5,5.2,0.2,9.9,6.0,80.0,Moderate or heavy rain shower,7.0
2022-11-14,Ho Chi Minh City,,Vietnam,10.75,106.67,Asia/Ho_Chi_Minh,32.4,90.3,24.0,75.2,27.3,81.2,6.3,10.1,2.6,0.1,10.0,6.0,78.0,Moderate or heavy rain shower,7.0
